College ID,Title,Territory,Vizag / Vijayawada,College Code,Country,Zone Id,State,State Code,Region Id,College Category,Reg College ID
669f5b8e7004b579f4304ff4,"JIS School of Medical Science & Research, Howrah",,,,IN,,West Bengal,WB,,ug,669f5b8e7004b579f4304ff4
669f5b8e7004b579f4304ff5,Kokrajhar Medical College and Hospital,,,,IN,,Assam,AS,,ug,669f5b8e7004b579f4304ff5
669f5b8e7004b579f4304ff6,Nagaon Medical College,,,,IN,,Assam,AS,,ug,669f5b8e7004b579f4304ff6
669f5b8e7004b579f4304ff7,"Nalbari Medical College, Nalbari",,,,IN,,Assam,AS,,ug,669f5b8e7004b579f4304ff7
669f5b8e7004b579f4304ff8,Nagaland Institute of Medical Sciences & Research,,,,IN,,Nagaland,NL,,ug,669f5b8e7004b579f4304ff8
669f5b8e7004b579f4304ff9,"Government Medical College and Hospital, Bhawanipatna",,,,IN,,Odisha,OD,,ug,669f5b8e7004b579f4304ff9
669f5b8e7004b579f4304ffa,"DRIEMS Institute of Health Sciences and Hospital, Kairapari",,,,IN,,Odisha,OD,,ug,669f5b8e7004b579f4304ffa
669f5b8e7004b579f4304ffb,"Government Medical College, Machilipatnam",,,,IN,,Andhra Pradesh,AP,,ug,669f5b8e7004b579f4304ffb
669f5b8e7004b579f4304ffc,"Government Medical College, Rajamahendravaram",,,,IN,,Andhra Pradesh,AP,,ug,669f5b8e7004b579f4304ffc
669f5b8e7004b579f4304ffd,"Government Medical College, Eluru",,,,IN,,Andhra Pradesh,AP,,ug,669f5b8e7004b579f4304ffd
669f5b8e7004b579f4304ffe,"Government Medical College, Nandyal",,,,IN,,Andhra Pradesh,AP,,ug,669f5b8e7004b579f4304ffe
669f5b8e7004b579f4304fff,"Government Medical College, Vizianagaram",,,,IN,,Andhra Pradesh,AP,,ug,669f5b8e7004b579f4304fff
669f5b8e7004b579f4305000,Nalbari Medical College and Hospital,,,,IN,,Assam,AS,,ug,669f5b8e7004b579f4305000
669f5b8e7004b579f4305001,"SAL Institute of Medical Sciences, Ahmedabad",,,,IN,,Gujarat,GJ,,ug,669f5b8e7004b579f4305001
669f5b8e7004b579f4305002,Swaminayaran Institute of Medical Sciences & Research,,,,IN,,Gujarat,GJ,,ug,669f5b8e7004b579f4305002
669f5b8e7004b579f4305003,Ananya College of Medicine & Research,,,,IN,,Gujarat,GJ,,ug,669f5b8e7004b579f4305003
669f5b8e7004b579f4305004,"Maharishi Markandeshwar College of Medical Sciences & Research, Sadopur",,,,IN,,Haryana,HR,,ug,669f5b8e7004b579f4305004
669f5b8e7004b579f4305005,"Amrita School of Medicine, Faridabad",,,,IN,,Haryana,HR,,ug,669f5b8e7004b579f4305005
669f5b8e7004b579f4305006,"Government Medical College, Udhampur",,,,IN,,Jammu and Kashmir,JK,,ug,669f5b8e7004b579f4305006
669f5b8e7004b579f4305007,"Government Medical College, Handwara",,,,IN,,Jammu and Kashmir,JK,,ug,669f5b8e7004b579f4305007
669f5b8e7004b579f4305008,Chitradurga Medical College and Research Institute,,,,IN,,Karnataka,KA,,ug,669f5b8e7004b579f4305008
669f5b8e7004b579f4305009,Sri Madhusudan Sai Institute of Medical Sciences and Research,,,,IN,,Karnataka,KA,,ug,669f5b8e7004b579f4305009
669f5b8e7004b579f430500a,Sri Chamundeshwari Medical College Hospital & Research Institute,,,,IN,,Karnataka,KA,,ug,669f5b8e7004b579f430500a
669f5b8e7004b579f430500b,"Government Medical College, Satna",,,,IN,,Madhya Pradesh,MP,,ug,669f5b8e7004b579f430500b
669f5b8e7004b579f430500c,"Mahatma Gandhi Mission Medical College, Vashi",,,,IN,,Maharashtra,MH,,ug,669f5b8e7004b579f430500c
669f5b8e7004b579f430500d,"Government Medical college and District Hospital, Ratnagiri",,,,IN,,Maharashtra,MH,,ug,669f5b8e7004b579f430500d
669f5b8f7004b579f430500e,"Parbhani Medical College, Parbhani",,,,IN,,Maharashtra,MH,,ug,669f5b8f7004b579f430500e
669f5b8f7004b579f430500f,"Dr. Rajdendra Gode Medical College, Amravati",,,,IN,,Maharashtra,MH,,ug,669f5b8f7004b579f430500f
669f5b8f7004b579f4305010,"Government Medical College, Dausa",,,,IN,,Rajasthan,RJ,,ug,669f5b8f7004b579f4305010
669f5b8f7004b579f4305011,"Government Medical College, Karauli",,,,IN,,Rajasthan,RJ,,ug,669f5b8f7004b579f4305011
669f5b8f7004b579f4305012,"Government Medical College, Alwar",,,,IN,,Rajasthan,RJ,,ug,669f5b8f7004b579f4305012
669f5b8f7004b579f4305013,"Government Medical College, Bundi",,,,IN,,Rajasthan,RJ,,ug,669f5b8f7004b579f4305013
669f5b8f7004b579f4305014,"Government Medical College, Hanumangarh",,,,IN,,Rajasthan,RJ,,ug,669f5b8f7004b579f4305014
669f5b8f7004b579f4305015,Nandha Medical College & Hospital Erode,,,,IN,,Tamil Nadu,TN,,ug,669f5b8f7004b579f4305015
669f5b8f7004b579f4305016,"Dhanalakshmi Srinivasan Institute of Medical Sciences and Hospital,",,,,IN,,Tamil Nadu,TN,,ug,669f5b8f7004b579f4305016
669f5b8f7004b579f4305017,PSP Medical College Hospital and Research Institute,,,,IN,,Tamil Nadu,TN,,ug,669f5b8f7004b579f4305017
669f5b8f7004b579f4305018,"Government Medical College, Rajanna Sircilla",,,,IN,,Telangana,TS,,ug,669f5b8f7004b579f4305018
669f5b8f7004b579f4305019,"Government Medical College, Karimnagar",,,,IN,,Telangana,TS,,ug,669f5b8f7004b579f4305019
669f5b8f7004b579f430501a,"Government Medical College, Nirmal",,,,IN,,Telangana,TS,,ug,669f5b8f7004b579f430501a
669f5b8f7004b579f430501b,"Government Medical College, Khammam",,,,IN,,Telangana,TS,,ug,669f5b8f7004b579f430501b
669f5b8f7004b579f430501c,"Government Medical College, Vikarabad",,,,IN,,Telangana,TS,,ug,669f5b8f7004b579f430501c
669f5b8f7004b579f430501d,Government Medical College Jangaon,,,,IN,,Telangana,TS,,ug,669f5b8f7004b579f430501d
669f5b8f7004b579f430501e,"Government Medical College, Jayashankar Bhupalpally",,,,IN,,Telangana,TS,,ug,669f5b8f7004b579f430501e
669f5b8f7004b579f430501f,"Government Medical College, Kamareddy",,,,IN,,Telangana,TS,,ug,669f5b8f7004b579f430501f
669f5b8f7004b579f4305020,"Government Medical College, Kumuram Bheem Asifabad",,,,IN,,Telangana,TS,,ug,669f5b8f7004b579f4305020
669f5b8f7004b579f4305021,"Neelima Institute of Medical Sciences, Medchal",,,,IN,,Telangana,TS,,ug,669f5b8f7004b579f4305021
669f5b8f7004b579f4305022,CMR Institute of Medical Sciences,,,,IN,,Telangana,TS,,ug,669f5b8f7004b579f4305022
669f5b8f7004b579f4305023,Arundathi Institute of Medical Sciences,,,,IN,,Telangana,TS,,ug,669f5b8f7004b579f4305023
669f5b8f7004b579f4305024,SKS Hospital Medical College & Research Centre,,,,IN,,Uttar Pradesh,UP,,ug,669f5b8f7004b579f4305024
66cda183005b0f915b2bea30,"Sambharam Institute of Medical Sciences & Research, Kolar",,,,IN,,Karnataka,KA,,ug,66cda183005b0f915b2bea30
